Time,Progress %,Revisit %
1.000748271,1.0,0.0
1.32874649,2.0,0.0
1.651093239,2.0,0.0
1.995686761,3.0,0.0
2.325461693,3.0,0.0
2.786833334,3.0,0.0
3.089526405,3.0,4.285714285714286
3.404551185,3.0,16.25
3.77547038,3.0,25.555555555555554
4.166837398,4.0,24.0
4.490512329,4.0,21.818181818181817
4.810016279,4.0,20.0
5.185886759,4.0,21.53846153846154
5.521124314,4.0,27.142857142857142
5.853055922,5.0,29.333333333333332
6.21731163,6.0,27.500000000000004
6.553597648,7.000000000000001,25.882352941176475
6.903716611,7.000000000000001,24.444444444444443
7.236449166,8.0,23.157894736842106
7.574033265,8.0,22.0
7.866771803,9.0,20.952380952380953
8.198832009,10.0,20.0
8.562271931,10.0,19.130434782608695
8.916877053,10.0,18.333333333333332
9.235273601,12.0,17.599999999999998
9.590728307,12.0,18.461538461538463
9.922044208,12.0,17.77777777777778
10.251920777,12.0,17.142857142857142
10.58713078,12.0,16.551724137931036
10.946045618,13.0,16.0
11.261105173,13.0,15.483870967741936
11.630068745,14.000000000000002,15.0
11.987035234,15.0,14.545454545454545
12.331151808,16.0,14.117647058823529
12.635216182,16.0,13.714285714285715
12.963449617,17.0,13.333333333333334
13.287988767,17.0,12.972972972972974
13.650111093,18.0,12.631578947368421
13.996790239,18.0,12.307692307692308
14.31976385,20.0,12.0
14.642296533,20.0,11.707317073170733
14.977086535,20.0,11.428571428571429
15.343607575,21.0,11.162790697674419
15.703908999,22.0,10.909090909090908
16.048320379,22.0,10.666666666666668
16.378018302,22.0,10.434782608695652
16.718689087,23.0,10.212765957446807
17.120916312,23.0,10.0
17.461696709,23.0,9.795918367346939
17.801087833,24.0,9.6
18.163942702,24.0,9.411764705882353
18.498651901,25.0,9.230769230769232
18.834905969,25.0,9.056603773584905
19.183485211,27.0,8.88888888888889
19.501882279,27.0,8.727272727272728
19.828660071,27.0,10.178571428571429
20.183155382,27.0,11.75438596491228
20.594201128,27.0,13.275862068965516
20.9288633,27.0,14.745762711864408
21.253211614,27.0,16.166666666666664
21.572963215,27.0,17.54098360655738
21.903274467,27.0,18.870967741935484
22.230292669,27.0,20.158730158730158
22.55496681,27.0,21.40625
22.887516387,27.0,22.615384615384613
23.224390603,27.0,23.78787878787879
23.57827185,27.0,24.925373134328357
23.94061682,27.0,26.029411764705884
24.284070377,27.0,27.10144927536232
24.652671842,28.000000000000004,28.000000000000004
24.985053229,28.000000000000004,29.014084507042252
25.330562597,28.000000000000004,30.0
25.674588498,28.000000000000004,30.958904109589042
25.997264986,28.000000000000004,31.891891891891895
26.357673442,28.000000000000004,32.800000000000004
26.708632723,28.000000000000004,33.68421052631579
27.047295317,28.000000000000004,34.54545454545455
27.391381388,28.000000000000004,35.38461538461539
27.743870622,28.000000000000004,36.20253164556962
28.096398628,28.000000000000004,37.0
28.443369269,28.000000000000004,37.77777777777778
28.756833474,28.000000000000004,38.53658536585366
29.087022149,28.000000000000004,39.277108433734945
29.435313163,28.000000000000004,40.0
29.735419902,28.999999999999996,40.23529411764706
30.063116934,28.999999999999996,39.76744186046511
30.415395179,28.999999999999996,39.770114942528735
30.738743385,30.0,40.0
31.095066107,30.0,39.8876404494382
31.404255982,30.0,40.55555555555556
31.764066584,31.0,40.879120879120876
32.087450263,31.0,40.43478260869565
32.416588052,32.0,40.0
32.734610042,33.0,39.57446808510638
33.059380337,34.0,39.1578947368421
33.394957097,34.0,38.75
33.718873108,36.0,38.35051546391753
34.046459382,36.0,37.95918367346939
34.372528702,36.0,37.57575757575757
34.725593693,36.0,37.2
35.06439461,36.0,36.83168316831683
35.415753876,37.0,36.470588235294116
35.779863622,37.0,36.116504854368934
36.135845211,37.0,36.34615384615385
36.477373878,37.0,36.952380952380956
36.81686572,38.0,36.9811320754717
37.164863646,38.0,36.63551401869159
37.483660232,39.0,36.2962962962963
37.801760413,40.0,35.96330275229358
38.125208039,41.0,35.63636363636364
38.482496148,42.0,35.31531531531532
38.806722139,42.0,35.0
39.145993194,42.0,34.690265486725664
39.465496097,43.0,34.385964912280706
39.800394322,44.0,34.08695652173913
40.143309882,44.0,33.793103448275865
40.478331564,44.0,33.5042735042735
40.829927902,44.0,33.220338983050844
41.182870711,44.0,32.94117647058823
41.563912442,44.0,32.666666666666664
41.925436924,44.0,32.396694214876035
42.242888866,45.0,32.295081967213115
42.571412061,45.0,32.03252032520325
42.90752332,45.0,31.774193548387096
43.21945314,45.0,31.52
43.55754709,45.0,32.06349206349206
43.877264484,45.0,32.59842519685039
44.238069414,45.0,33.125
44.565133495,45.0,33.64341085271318
44.920771228,46.0,34.07692307692308
45.273160255,46.0,33.81679389312977
45.657271659,48.0,33.56060606060606
45.993225604,48.0,33.308270676691734
46.314819261,48.0,33.059701492537314
46.619833155,48.0,33.55555555555556
46.978369566,48.0,34.044117647058826
47.303295494,49.0,33.7956204379562
47.630900304,49.0,33.98550724637681
47.959993918,49.0,34.46043165467626
48.303557877,49.0,34.92857142857143
48.655668006,50.0,34.751773049645394
48.987381755,50.0,34.50704225352113
49.3311735,50.0,34.26573426573427
49.682685127,50.0,34.02777777777778
50.05458388,51.0,33.793103448275865
50.39883358,51.0,33.56164383561644
50.734911265,51.0,33.33333333333333
51.074576724,51.0,33.108108108108105
51.415888095,51.0,33.02013422818792
51.744752352,51.0,33.46666666666667
52.089999537,51.0,33.90728476821192
52.42242577,51.0,34.3421052631579
52.763888906,51.0,34.77124183006536
53.120421572,51.0,35.1948051948052
53.438127134,51.0,35.612903225806456
53.803344604,51.0,36.02564102564102
54.146348838,51.0,36.43312101910828
54.482528191,51.0,36.835443037974684
54.850755661,51.0,37.23270440251572
55.180945497,51.0,37.625
55.50290198,51.0,38.01242236024845
55.823528627,51.0,38.39506172839506
56.169891795,51.0,38.77300613496932
56.508234583,51.0,39.146341463414636
56.856652022,51.0,39.515151515151516
57.2218471,51.0,39.87951807228916
57.590291536,51.0,40.23952095808383
57.929173575,51.0,40.0
58.250220478,51.0,39.76331360946745
58.618908091,51.0,39.52941176470588
58.966583631,51.0,39.64912280701755
59.307434412,51.0,40.0
59.65591028,51.0,40.346820809248555
60.00304453,51.0,40.689655172413794
60.366151498,52.0,40.74285714285714
60.742695089,53.0,40.51136363636363
61.090576281,54.0,40.282485875706215
61.454023874,54.0,40.056179775280896
61.790870851,55.00000000000001,39.832402234636874
62.135540126,56.00000000000001,39.611111111111114
62.487273107,56.99999999999999,39.39226519337017
62.835314108,56.99999999999999,39.175824175824175
63.182799846,57.99999999999999,38.961748633879786
63.530697973,59.0,38.75
63.915052053,59.0,39.08108108108108
64.265330926,59.0,39.40860215053764
64.601059019,59.0,39.73262032085562
64.943442743,60.0,39.9468085106383
65.275602844,60.0,39.735449735449734
65.614817907,60.0,39.526315789473685
65.974705641,61.0,39.52879581151832
66.336336528,61.0,39.84375
66.709898867,61.0,40.15544041450777
67.049434972,61.0,40.4639175257732
67.369518774,62.0,40.30769230769231
67.693093623,62.0,40.51020408163265
68.045170732,62.0,40.81218274111676
68.343989796,62.0,41.11111111111111
68.662006357,62.0,41.4070351758794
68.999309048,62.0,41.699999999999996
69.286735304,62.0,41.99004975124378
69.646046522,62.0,42.277227722772274
70.002913397,62.0,42.5615763546798
70.310775574,63.0,42.5
70.656542412,63.0,42.53658536585366
70.998573763,63.0,42.81553398058253
71.324852175,63.0,43.091787439613526
71.663652964,63.0,43.36538461538461
72.02430521,63.0,43.63636363636363
72.358838492,63.0,43.904761904761905
72.739106968,63.0,44.170616113744074
73.039065099,63.0,44.43396226415094
73.373594348,63.0,44.69483568075117
73.748022007,63.0,44.953271028037385
74.075632727,63.0,44.83720930232558
74.411173325,63.0,44.675925925925924
74.724148302,63.0,44.93087557603687
